SKU,GROUP,"Short Description",Category,Collection,Size,Color,Brand,"Discount Price","Selling Price",Discount,Stock,Material,Sole,Innersole,Interior,Demountable,Closing,Heel,Plateaulevel,Sizefits,EAN,Origin,Material2,Freetext,Photos,"Color Hex"
00301434,860,"Enkelsneaker in de kleur beige","DAMESSCHOENEN > SNEAKERS",NOS,36,BEIGE,DEABUSED,,129.99,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg,"#F5F5DC "
0030142,860,"Enkelsneaker in de kleur groen","DAMESSCHOENEN > SNEAKERS",NOS,36,GROEN,DEABUSED,,129.99,"New Collection",1,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg,#008000
00301435,860,"Enkelsneaker in de kleur beige","DAMESSCHOENEN > SNEAKERS",NOS,37,BEIGE,DEABUSED,,129.99,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg,"#F5F5DC "
00301419,860,"Enkelsneaker in de kleur blauw","DAMESSCHOENEN > SNEAKERS",NOS,37,BLAUW,DEABUSED,,129.99,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BLAUW/IMG_8973050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BLAUW/IMG_8974050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BLAUW/IMG_8975050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BLAUW/IMG_8976050218.jpg,#0000FF
0030143,860,"Enkelsneaker in de kleur groen","DAMESSCHOENEN > SNEAKERS",NOS,37,GROEN,DEABUSED,,129.99,"New Collection",3,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg,#008000
00301411,860,"Enkelsneaker in de kleur zwart","DAMESSCHOENEN > SNEAKERS",NOS,37,ZWART,DEABUSED,,129.99,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.ZWART/IMG_4143050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.ZWART/IMG_4144050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.ZWART/IMG_4145050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.ZWART/IMG_4147050218.jpg,#000000
00301436,860,"Enkelsneaker in de kleur beige","DAMESSCHOENEN > SNEAKERS",NOS,38,BEIGE,DEABUSED,,129.99,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg,"#F5F5DC "
0030144,860,"Enkelsneaker in de kleur groen","DAMESSCHOENEN > SNEAKERS",NOS,38,GROEN,DEABUSED,,129.99,"New Collection",4,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg,#008000
00301437,860,"Enkelsneaker in de kleur beige","DAMESSCHOENEN > SNEAKERS",NOS,39,BEIGE,DEABUSED,,129.99,"New Collection",3,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg,"#F5F5DC "
0030145,860,"Enkelsneaker in de kleur groen","DAMESSCHOENEN > SNEAKERS",NOS,39,GROEN,DEABUSED,,129.99,"New Collection",2,,,,,,,,,,,,,,https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg|https://calexis.nl/userfiles/files/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg,#008000
