sku,group,short_description,categories,custom_collection,size,color,brand,special_price,price,discount,qty,material_1,sole,innersole,interior,demountable,closing,heel,plateaulevel,sizefits,ean,origin,material2,freetext,additional_images,color_hex,attribute_set_code,product_type,product_websites,is_in_stock,manage_stock,website_id,product_online,base_image,small_image,thumbnail_image,configurable_variations,default_category,visibility,name,url_key,brand_2
c00301434,860,Enkelsneaker in de kleur beige,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,36,BEIGE,DEABUSED,,129.99,New Collection,1,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg",#F5F5DC,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301434,DEABUSED
c0030142,860,Enkelsneaker in de kleur groen,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,36,GROEN,DEABUSED,,129.99,New Collection,1,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg",#008000,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c0030142,DEABUSED
c00301435,860,Enkelsneaker in de kleur beige,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,37,BEIGE,DEABUSED,,129.99,New Collection,2,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg",#F5F5DC,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301435,DEABUSED
c00301419,860,Enkelsneaker in de kleur blauw,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,37,BLAUW,DEABUSED,,129.99,New Collection,2,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.BLAUW/IMG_8973050218.jpg,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8974050218.jpg,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8975050218.jpg,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8976050218.jpg",#0000FF,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8973050218.jpg,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8973050218.jpg,/product-photos/IMG_860/IMG_860.BLAUW/IMG_8973050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301419,DEABUSED
c0030143,860,Enkelsneaker in de kleur groen,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,37,GROEN,DEABUSED,,129.99,New Collection,3,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg",#008000,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c0030143,DEABUSED
c00301411,860,Enkelsneaker in de kleur zwart,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,37,ZWART,DEABUSED,,129.99,New Collection,2,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.ZWART/IMG_4143050218.jpg,/product-photos/IMG_860/IMG_860.ZWART/IMG_4144050218.jpg,/product-photos/IMG_860/IMG_860.ZWART/IMG_4145050218.jpg,/product-photos/IMG_860/IMG_860.ZWART/IMG_4147050218.jpg",#000000,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.ZWART/IMG_4143050218.jpg,/product-photos/IMG_860/IMG_860.ZWART/IMG_4143050218.jpg,/product-photos/IMG_860/IMG_860.ZWART/IMG_4143050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301411,DEABUSED
c00301436,860,Enkelsneaker in de kleur beige,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,38,BEIGE,DEABUSED,,129.99,New Collection,2,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg",#F5F5DC,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301436,DEABUSED
c0030144,860,Enkelsneaker in de kleur groen,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,38,GROEN,DEABUSED,,129.99,New Collection,4,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg",#008000,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c0030144,DEABUSED
c00301437,860,Enkelsneaker in de kleur beige,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,39,BEIGE,DEABUSED,,129.99,New Collection,3,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2849050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2850050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2851050218.jpg",#F5F5DC,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,/product-photos/IMG_860/IMG_860.BEIGE/IMG_2848050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c00301437,DEABUSED
c0030145,860,Enkelsneaker in de kleur groen,Default Category/DAMESSCHOENEN/SNEAKERS,NOS,39,GROEN,DEABUSED,,129.99,New Collection,2,,,,,,,,,,,,,,"/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4329050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4330050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4331050218.jpg",#008000,Default,simple,base,1,0,0,1,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,/product-photos/IMG_860/IMG_860.GROEN/IMG_4328050218.jpg,,SNEAKERS,Not Visible Individually,DEABUSED,deabused-c0030145,DEABUSED
